plot	Simpson	LOCALITY	WOODED_cat	AREA_cat
BO-6	0.785544319	BO	8	8
BO-7	0.763429752	BO	8	8
BO-8	0.682093272	BO	8	8
SV-6	0.308760331	SV	2	3
SV-7	0.087534719	SV	2	3
SV-8	0.161625709	SV	2	3
TO-6	0.490923806	TO	3	7
TO-7	0.452662722	TO	3	7
TO-8	0.560555045	TO	3	7
ST-6	0.610207101	ST	6	5
ST-7	0.652459542	ST	6	5
ST-8	0.702498356	ST	6	5
ZR-6	0.571428571	ZR	7	6
ZR-7	0.474710744	ZR	7	6
ZR-8	0.387345679	ZR	7	6
VI-6	0.470841172	VI	4	4
VI-7	0.6171875	VI	4	4
VI-8	0	VI	4	4
LE-6	0.392127702	LE	1	2
LE-7	0.441138659	LE	1	2
LE-8	0.509944116	LE	1	2
HR-6	0.694444444	HR	5	1
HR-7	0.555555556	HR	5	1
HR-8	0.53125	HR	5	1
