PLOT	SITE	MONTH	MJESEC	HITS	TOTALbaits	PROPhits	TEMPaverIR	NUMants	NUMvisitors	EVENTdays	AREAm2	AREAha	Lat	Long	NUMgreenAREA	GREENareaM2	WOODEDareaM2	WOODEDareaHA	WOODEDlog10	OPENm2	PATHSm2	PATHSha	TEMPaverDHMZ	CLOUDYNESSaver	ACTUALpercipAVER	RAINFALLintensityMM
BO	Gric	May	1	12	15	0.8	28.15	102	NA	0	44558	4.4558	45.804780?	15.971705?	59	28672	22320	2.232	0.509471352	5755	7294	0.7294	14.3	8.6	4	5.6
BO	Gric	June	2	13	15	0.87	32.725	501	6	0	44558	4.4558	45.804780?	15.971705?	59	28672	22320	2.232	0.509471352	5755	7294	0.7294	24.8	3.5	2.8	10.5
BO	Gric	July	3	2	15	0.13	45.05	146	0	0	44558	4.4558	45.804780?	15.971705?	59	28672	22320	2.232	0.509471352	5755	7294	0.7294	24.1	4.9	2.1	5.1
BO	Gric	August	4	9	15	0.6	35.5	102	4	0	44558	4.4558	45.804780?	15.971705?	59	28672	22320	2.232	0.509471352	5755	7294	0.7294	24.4	4.3	1.8	10.6
HR	Maksimir	May	1	2	15	0.13	20.2	3	NA	0	2408	0.2408	45.831282?	16.023288?	1	2408	2408	0.2408	0.093701785	0	0	0	13.7	8	4.8	6.4
HR	Maksimir	June	2	6	15	0.4	24.3	36	0	0	2408	0.2408	45.831282?	16.023288?	1	2408	2408	0.2408	0.093701785	0	0	0	23.8	4	2.4	8.9
HR	Maksimir	July	3	5	15	0.33	29	31	0	0	2408	0.2408	45.831282?	16.023288?	1	2408	2408	0.2408	0.093701785	0	0	0	25	5.4	2.5	6.4
HR	Maksimir	August	4	13	15	0.87	27.45	25	0	0	2408	0.2408	45.831282?	16.023288?	1	2408	2408	0.2408	0.093701785	0	0	0	23.5	4.7	1.8	11.3
LE	Maksimir	May	1	15	15	1	28.5	79	NA	0	2654	0.2654	45.831360?	16.023968?	1	2654	0	0	0	2654	0	0	13.7	8	4.8	6.4
LE	Maksimir	June	2	3	15	0.2	27	17	0	0	2654	0.2654	45.831360?	16.023968?	1	2654	0	0	0	2654	0	0	23.8	4	2.4	8.9
LE	Maksimir	July	3	4	15	0.27	33	15	0	0	2654	0.2654	45.831360?	16.023968?	1	2654	0	0	0	2654	0	0	25	5.4	2.5	6.4
LE	Maksimir	August	4	0	15	0	35.85	0	0	0	2654	0.2654	45.831360?	16.023968?	1	2654	0	0	0	2654	0	0	23.5	4.7	1.8	11.3
ST	Gric	May	1	9	15	0.6	28.85	371	NA	5	15596	1.5596	45.808530?	15.978548?	13	8639	4020	0.402	0.146748014	4588	6988	0.6988	14.3	8.6	4	5.6
ST	Gric	June	2	6	15	0.4	42.4	88	4	5	15596	1.5596	45.808530?	15.978548?	13	8639	4020	0.402	0.146748014	4588	6988	0.6988	24.8	3.5	2.8	10.5
ST	Gric	July	3	3	15	0.2	34.975	125	2	5	15596	1.5596	45.808530?	15.978548?	13	8639	4020	0.402	0.146748014	4588	6988	0.6988	24.1	4.9	2.1	5.1
ST	Gric	August	4	5	15	0.33	36.7	401	1	5	15596	1.5596	45.808530?	15.978548?	13	8639	4020	0.402	0.146748014	4588	6988	0.6988	24.4	4.3	1.8	10.6
SV	Gric	May	1	3	15	0.2	27.05	6	NA	0	5926	0.5926	45.806950?	15.974420?	6	5086	1566	0.1566	0.063183188	3404	840	0.084	14.3	8.6	4	5.6
SV	Gric	June	2	7	15	0.47	32.75	129	4	0	5926	0.5926	45.806950?	15.974420?	6	5086	1566	0.1566	0.063183188	3404	840	0.084	24.8	3.5	2.8	10.5
SV	Gric	July	3	0	15	0	46.5	0	2	0	5926	0.5926	45.806950?	15.974420?	6	5086	1566	0.1566	0.063183188	3404	840	0.084	24.1	4.9	2.1	5.1
SV	Gric	August	4	3	15	0.2	39.8	37	2	0	5926	0.5926	45.806950?	15.974420?	6	5086	1566	0.1566	0.063183188	3404	840	0.084	24.4	4.3	1.8	10.6
TO	Gric	May	1	2	15	0.13	34.3	22	NA	19	18854	1.8854	45.806364?	15.978708?	21	11105	1908	0.1908	0.075838826	9205	6814	0.6814	14.3	8.6	4	5.6
TO	Gric	June	2	0	15	0	37.825	0	0	19	18854	1.8854	45.806364?	15.978708?	21	11105	1908	0.1908	0.075838826	9205	6814	0.6814	24.8	3.5	2.8	10.5
TO	Gric	July	3	13	15	0.87	32.2	312	1	19	18854	1.8854	45.806364?	15.978708?	21	11105	1908	0.1908	0.075838826	9205	6814	0.6814	24.1	4.9	2.1	5.1
TO	Gric	August	4	4	15	0.27	27	165	4	19	18854	1.8854	45.806364?	15.978708?	21	11105	1908	0.1908	0.075838826	9205	6814	0.6814	24.4	4.3	1.8	10.6
VI	Maksimir	May	1	6	15	0.4	31.05	38	NA	0	6971	0.6971	45.824676?	16.022826?	1	6971	2197	0.2197	0.086253024	4774	0	0	13.7	8	4.8	6.4
VI	Maksimir	June	2	5	15	0.33	29.7	33	0	0	6971	0.6971	45.824676?	16.022826?	1	6971	2197	0.2197	0.086253024	4774	0	0	23.8	4	2.4	8.9
VI	Maksimir	July	3	0	15	0	44.75	0	0	0	6971	0.6971	45.824676?	16.022826?	1	6971	2197	0.2197	0.086253024	4774	0	0	25	5.4	2.5	6.4
VI	Maksimir	August	4	0	15	0	34.6	0	0	0	6971	0.6971	45.824676?	16.022826?	1	6971	2197	0.2197	0.086253024	4774	0	0	23.5	4.7	1.8	11.3
ZR	Gric	May	1	4	15	0.27	26.75	67	NA	48	17917	1.7917	45.810414?	15.978278?	5	13683	6171	0.6171	0.208736877	7282	4234	0.4234	14.3	8.6	4	5.6
ZR	Gric	June	2	4	15	0.27	27.15	13	5	48	17917	1.7917	45.810414?	15.978278?	5	13683	6171	0.6171	0.208736877	7282	4234	0.4234	24.8	3.5	2.8	10.5
ZR	Gric	July	3	3	15	0.2	32.9	86	12	48	17917	1.7917	45.810414?	15.978278?	5	13683	6171	0.6171	0.208736877	7282	4234	0.4234	24.1	4.9	2.1	5.1
ZR	Gric	August	4	7	15	0.47	26	364	6	48	17917	1.7917	45.810414?	15.978278?	5	13683	6171	0.6171	0.208736877	7282	4234	0.4234	24.4	4.3	1.8	10.6
