LOCATION	RICHNESShp	MONTH	TEMPaverIR	HAND	BAIT	PITFALL	PITFALLabundance	NUMvisitors	EVENTdays	AREAm2	AREAha	AREA_cat	Lat	Long	NUMgreenAREA	GREENareaM2	WOODEDareaM2	WOODEDareaHA	log10WOOD	WOODED_cat	PROPwooded	OPENm2	OPENha	PATHSm2	PATHSha	TEMPaverDHMZ	CLOUDYNESSaver	ACTUALpercipAVER	RAINFALLintensityMM
LE	8	JUNE	27	7	3	4	246	0	0	2654	0.2654	2	45.831360?	16.023968?	1	2654	0	0	0	1	0	2654	0.2654	0	0	23.8	4	2.4	8.9
LE	10	JULY	33	10	2	4	165	0	0	2654	0.2654	2	45.831360?	16.023968?	1	2654	0	0	0	1	0	2654	0.2654	0	0	25	5.4	2.5	6.4
LE	10	AUGUST	35.85	9	0	4	156	0	0	2654	0.2654	2	45.831360?	16.023968?	1	2654	0	0	0	1	0	2654	0.2654	0	0	23.5	4.7	1.8	11.3
SV	10	JUNE	32.75	9	2	4	55	4	0	5926	0.5926	3	45.806950?	15.974420?	6	5086	1566	0.1566	0.063183188	2	0.264259197	3404	0.3404	840	0.084	24.8	3.5	2.8	10.5
SV	10	JULY	46.5	9	0	2	109	2	0	5926	0.5926	3	45.806950?	15.974420?	6	5086	1566	0.1566	0.063183188	2	0.264259197	3404	0.3404	840	0.084	24.1	4.9	2.1	5.1
SV	12	AUGUST	39.8	11	1	3	46	2	0	5926	0.5926	3	45.806950?	15.974420?	6	5086	1566	0.1566	0.063183188	2	0.264259197	3404	0.3404	840	0.084	24.4	4.3	1.8	10.6
TO	8	JUNE	37.825	5	NA	6	93	0	19	18854	1.8854	7	45.806364?	15.978708?	21	11105	1908	0.1908	0.075838826	3	0.101198685	9205	0.9205	6814	0.6814	24.8	3.5	2.8	10.5
TO	9	JULY	32.2	7	2	5	104	1	19	18854	1.8854	7	45.806364?	15.978708?	21	11105	1908	0.1908	0.075838826	3	0.101198685	9205	0.9205	6814	0.6814	24.1	4.9	2.1	5.1
TO	9	AUGUST	27	7	2	5	99	4	19	18854	1.8854	7	45.806364?	15.978708?	21	11105	1908	0.1908	0.075838826	3	0.101198685	9205	0.9205	6814	0.6814	24.4	4.3	1.8	10.6
VI	16	JUNE	29.7	14	2	5	61	0	0	6971	0.6971	4	45.824676?	16.022826?	1	6971	2197	0.2197	0.086253024	4	0.315162817	4774	0.4774	0	0	23.8	4	2.4	8.9
VI	13	JULY	44.75	12	0	3	16	0	0	6971	0.6971	4	45.824676?	16.022826?	1	6971	2197	0.2197	0.086253024	4	0.315162817	4774	0.4774	0	0	25	5.4	2.5	6.4
VI	10	AUGUST	34.6	10	0	1	2	0	0	6971	0.6971	4	45.824676?	16.022826?	1	6971	2197	0.2197	0.086253024	4	0.315162817	4774	0.4774	0	0	23.5	4.7	1.8	11.3
HR	11	JUNE	24.3	10	3	4	12	0	0	2408	0.2408	1	45.831282?	16.023288?	1	2408	2408	0.2408	0.093701785	5	1	0	0	0	0	23.8	4	2.4	8.9
HR	11	JULY	29	10	2	5	24	0	0	2408	0.2408	1	45.831282?	16.023288?	1	2408	2408	0.2408	0.093701785	5	1	0	0	0	0	25	5.4	2.5	6.4
HR	11	AUGUST	27.45	10	5	5	24	0	0	2408	0.2408	1	45.831282?	16.023288?	1	2408	2408	0.2408	0.093701785	5	1	0	0	0	0	23.5	4.7	1.8	11.3
ST	13	JUNE	42.4	11	2	5	52	4	5	15596	1.5596	5	45.808530?	15.978548?	13	8639	4020	0.402	0.146748014	6	0.2577584	4588	0.4588	6988	0.6988	24.8	3.5	2.8	10.5
ST	11	JULY	34.975	8	1	6	79	2	5	15596	1.5596	5	45.808530?	15.978548?	13	8639	4020	0.402	0.146748014	6	0.2577584	4588	0.4588	6988	0.6988	24.1	4.9	2.1	5.1
ST	13	AUGUST	36.7	10	1	5	78	1	5	15596	1.5596	5	45.808530?	15.978548?	13	8639	4020	0.402	0.146748014	6	0.2577584	4588	0.4588	6988	0.6988	24.4	4.3	1.8	10.6
ZR	9	JUNE	27.15	9	1	3	21	5	48	17917	1.7917	6	45.810414?	15.978278?	5	13683	6171	0.6171	0.208736877	7	0.344421499	7282	0.7282	4234	0.4234	24.8	3.5	2.8	10.5
ZR	10	JULY	32.9	9	2	3	55	12	48	17917	1.7917	6	45.810414?	15.978278?	5	13683	6171	0.6171	0.208736877	7	0.344421499	7282	0.7282	4234	0.4234	24.1	4.9	2.1	5.1
ZR	8	AUGUST	26	7	3	3	36	6	48	17917	1.7917	6	45.810414?	15.978278?	5	13683	6171	0.6171	0.208736877	7	0.344421499	7282	0.7282	4234	0.4234	24.4	4.3	1.8	10.6
BO	18	JUNE	32.725	15	2	10	82	6	0	44558	4.4558	8	45.804780?	15.971705?	59	28672	22320	2.232	0.509471352	8	0.500920149	5755	0.5755	7294	0.7294	24.8	3.5	2.8	10.5
BO	14	JULY	45.05	9	1	11	88	0	0	44558	4.4558	8	45.804780?	15.971705?	59	28672	22320	2.232	0.509471352	8	0.500920149	5755	0.5755	7294	0.7294	24.1	4.9	2.1	5.1
BO	14	AUGUST	35.5	12	3	10	53	4	0	44558	4.4558	8	45.804780?	15.971705?	59	28672	22320	2.232	0.509471352	8	0.500920149	5755	0.5755	7294	0.7294	24.4	4.3	1.8	10.6
