LOCATION	MONTH	DAY	TEMPaver	PERCIPITATIONmm	CLOUDINESS
GRIC	5	1	16.2	1.5	3
GRIC	5	2	17.2	0	2.3
GRIC	5	3	15.5	0	9
GRIC	5	4	13.4	5.1	10
GRIC	5	5	7.1	10.1	10
GRIC	5	6	7.6	4.2	10
GRIC	5	7	11.4	0.4	4.3
GRIC	5	8	14.2	0	6
GRIC	5	9	11	0.4	6.3
GRIC	5	10	14.1	17.9	4.3
GRIC	5	11	17.3	1.1	6
GRIC	5	12	12.9	2.6	9.7
GRIC	5	13	10.2	9.1	10
GRIC	5	14	9.6	5.3	10
GRIC	5	15	7	5.4	9.7
GRIC	5	16	9.6	15.3	7.3
GRIC	5	17	12.1	0	6.3
GRIC	5	18	16.2	0	9.3
GRIC	5	19	15.9	1.7	8
GRIC	5	20	16	1	8
GRIC	5	21	14.9	0	7.7
GRIC	5	22	17.4	5.1	8.7
GRIC	5	23	17.6	0.6	8
GRIC	5	24	18.3	0	3
GRIC	5	25	20.4	0	5.3
GRIC	5	26	20.4	0	8.7
GRIC	5	27	16.4	1.6	10
GRIC	5	28	17.4	4	9.3
GRIC	5	29	13.8	11.4	10
GRIC	5	30	13.8	19	10
GRIC	5	31	17.2	0.3	9
GRIC	6	1	21.6	0	4.7
GRIC	6	2	21.4	2.7	5
GRIC	6	3	23	0	3
GRIC	6	4	24.3	0	3.7
GRIC	6	5	21.4	0	6
GRIC	6	6	23.2	2.5	2
GRIC	6	7	23.6	0	0.3
GRIC	6	8	25.4	0	2
GRIC	6	9	25	0	1.7
GRIC	6	10	27	0	0.7
GRIC	6	11	27.8	0	4
GRIC	6	12	28.2	2.1	1.3
GRIC	6	13	27.2	0	2
GRIC	6	14	27.2	0	1
GRIC	6	15	26.6	0	5.7
GRIC	6	16	23.8	0	6
GRIC	6	17	20.8	35.2	9.7
GRIC	6	18	22.6	4.2	7.3
GRIC	6	19	25.2	2.3	3.3
GRIC	6	20	25.5	0	3.7
GRIC	6	21	25.2	0	5
GRIC	6	22	22	0	8.7
GRIC	6	23	21	32.5	9
GRIC	6	24	24.7	2.4	2
GRIC	6	25	26.8	0	2.3
GRIC	6	26	28.3	0	0.7
GRIC	6	27	29.2	0	2
GRIC	6	28	25.6	0	1
GRIC	6	29	24.6	0	0.3
GRIC	6	30	26	0	0
GRIC	7	1	28.8	0	1.7
GRIC	7	2	25.2	0	4.7
GRIC	7	3	25.4	2	3.7
GRIC	7	4	21.4	0.1	6.3
GRIC	7	5	25.2	0.5	1.3
GRIC	7	6	26.6	0	3.3
GRIC	7	7	21	1.9	7.3
GRIC	7	8	19.9	7	9
