Plot	EXShannon	LOCALITY	WOODED_cat	AREA_cat
LE-6	2.162011	LE	1	2
LE-7	2.048237	LE	1	2
LE-8	2.510514	LE	1	2
SV-6	1.804578	SV	2	3
SV-7	1.204633	SV	2	3
SV-8	1.411055	SV	2	3
TO-6	2.705503	TO	3	7
TO-7	2.493309	TO	3	7
TO-8	2.839243	TO	3	7
VI-6	2.426037	VI	4	4
VI-7	2.784112	VI	4	4
VI-8	1.000000	VI	4	4
HR-6	3.543098	HR	5	1
HR-7	2.981602	HR	5	1
HR-8	3.178389	HR	5	1
ST-6	3.094549	ST	6	5
ST-7	3.704064	ST	6	5
ST-8	3.646885	ST	6	5
ZR-6	2.535269	ZR	7	6
ZR-7	2.140055	ZR	7	6
ZR-8	1.914666	ZR	7	6
BO-6	6.237151	BO	8	8
BO-7	5.632144	BO	8	8
BO-8	4.653586	BO	8	8
